first_seen_utc,ioc_id,ioc_value,ioc_type,threat_type,fk_malware,malware_alias,malware_printable,last_seen_utc,confidence_level,reference,tags,anonymous,reporter
2024-06-14 13:58:33, 1284849, a0080b969c5e7d8a9b81f1bb4e9709fd3f554f78, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:58:30, 1284846, 2c1bed5fe03ab619ca52c03f73c45302620dd609, sha1_hash, payload, win.webmonitor, RevCode, WebMonitor RAT, , 95, None, None, 0, Grim
2024-06-14 13:58:26, 1284843, b44b91e0b154ba650b0a1411c6f551c0a47e9989, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:58:23, 1284840, 27adc2d0e44688ebf634b1201de3ec59850a2507, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:58:19, 1284837, 8c352e1807c00bd32c7cde3e0ece9bf33b6db927, sha1_hash, payload, win.asyncrat, None, AsyncRAT, , 95, None, None, 0, Grim
2024-06-14 13:58:15, 1284834, aaf04301f284fb9a47a5e570cd830cfc2092f799, sha1_hash, payload, win.stealc, None, Stealc, , 95, None, None, 0, Grim
2024-06-14 13:58:12, 1284831, 64f4ddd4a0f8cde10c990e6167fefb95a311ccec, sha1_hash, payload, win.stealc, None, Stealc, , 95, None, None, 0, Grim
2024-06-14 13:58:08, 1284828, d051e47915937d64fb6fcd4a3640c345ad892a18, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:58:05, 1284825, 8424f8aa14259c1c2799c923524d911e2643e60e, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:58:01, 1284822, 85d9b7354ac39e47fdd2abb42989ca128c45315d, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:57:57, 1284819, 24a4f27ed28f140a63c2cbef18f38d910c562ef2, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:57:54, 1284816, 919931b89c07be3005e04ca3a28a6eeedb2616fd, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:57:50, 1284813, c8cee5411c1c414876f078ecfa9865eb893ad5af, sha1_hash, payload, win.zloader, DELoader,SILENTNIGHT,Terdot, Zloader, , 95, None, None, 0, Grim
2024-06-14 13:57:47, 1284810, a15f53cb65e2ecfd3c5112711cceb30b9ab88257, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:57:43, 1284807, 2b43439f0d01081786eb6890b2ca69261a810224, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:57:40, 1284804, 45b61854f05ec703862510a0d35cdcdb156a6635, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:57:34, 1284801, 52de04b0b56261cc134dbba6f21af3c3008de240, sha1_hash, payload, win.redline_stealer, RECORDSTEALER, RedLine Stealer, , 95, None, None, 0, Grim
2024-06-14 13:57:31, 1284798, 014f4dba778f1e35e174aaf901898513d878589d, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:57:27, 1284795, 97046dd1c0581f774179be4abfa5e337f848b20c, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:57:23, 1284792, af748012bc2a4b619b41210e4c3d0f40c8c05a59, sha1_hash, payload, win.stealc, None, Stealc, , 95, None, None, 0, Grim
2024-06-14 13:57:20, 1284789, b2d6201c6c10fe35e3064c501ebf0b41334c065d, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:57:16, 1284786, 1a9dc94c7807d726d8ebee79ec6dd6e255143909, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:57:13, 1284783, c315c20c97014edd96074b2322461cc3eb324720, sha1_hash, payload, win.njrat, Bladabindi,Lime-Worm, NjRAT, , 95, None, None, 0, Grim
2024-06-14 13:57:09, 1284780, 0fe3ab13d06626b1eceb30e1ed12eee04b5a5c0f, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:57:06, 1284777, a1b24e2455e4b41775c8d15cdc9ea83fdf4c59db, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:57:02, 1284774, 9e8a96001d0adfdd95408fae907e29ee13e999b7, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:56:58, 1284771, 873b2812cc96d7fa5f224c21155c5f91932235d6, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:56:55, 1284768, 456d2af400f350231851df27caac360d021f8c88, sha1_hash, payload, win.krakenkeylogger, None, KrakenKeylogger, , 95, None, None, 0, Grim
2024-06-14 13:56:51, 1284765, a39d0ac59b077a70f2e8b2d858d1ce7dc66600fd, sha1_hash, payload, win.njrat, Bladabindi,Lime-Worm, NjRAT, , 95, None, None, 0, Grim
2024-06-14 13:56:47, 1284762, a851109550ad6c8a331843f8020df858d9fa882f, sha1_hash, payload, win.njrat, Bladabindi,Lime-Worm, NjRAT, , 95, None, None, 0, Grim
2024-06-14 13:56:43, 1284759, 9af1c2b76477e9f417d563cfe600bdce227987ac, sha1_hash, payload, win.njrat, Bladabindi,Lime-Worm, NjRAT, , 95, None, None, 0, Grim
2024-06-14 13:56:40, 1284756, 4079a6cca10bbdaccd13401f30a1a95276db7eb9, sha1_hash, payload, win.stealc, None, Stealc, , 95, None, None, 0, Grim
2024-06-14 13:56:36, 1284753, 23332a2dc618d48d98218d3b3d67bc128e9d0f3d, sha1_hash, payload, win.strelastealer, None, StrelaStealer, , 95, None, None, 0, Grim
2024-06-14 13:56:32, 1284750, 9a7429e8b08ef843739c7739e8a314006c20b2af, sha1_hash, payload, win.strelastealer, None, StrelaStealer, , 95, None, None, 0, Grim
2024-06-14 13:56:28, 1284747, efaa1eb60d999475c755bb9b6eed4ec8f507e699, sha1_hash, payload, win.systembc, Coroxy,DroxiDat, SystemBC, , 95, None, None, 0, Grim
2024-06-14 13:56:23, 1284744, cb523836ec76994beac5413386974db7a7b37c86, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:56:20, 1284741, 55858daa0d3b9025c6bfc17d03500ad89d7a8472, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:56:16, 1284738, a6f8d0b06fac90b33a9c4af8c4a32eec0b0fb713, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:56:13, 1284735, 227e55ea3fb741850c4e35f597100c1c6c21882e, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:56:09, 1284732, ab5238ffc8f7ea4331fa44ebbdb6691c2cb0bf06, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
